register,air,water_5s,water_15s,water_30s,water_60s,delta_air_to_60s,range,trend,change_marker
0,241,241,271,288,303,62,62,UP,***
1,27,336,314,302,292,265,309,FLUCTUATING,***
2,2,16,15,14,14,12,14,FLUCTUATING,**
3,374,29,31,33,34,-340,345,FLUCTUATING,***
4,13,168,157,150,145,132,155,FLUCTUATING,***
5,0,0,0,0,0,0,0,STATIC,
6,4,4,4,4,4,0,0,STATIC,
7,261,261,261,261,261,0,0,STATIC,
8,5,5,5,5,5,0,0,STATIC,
9,9600,9600,9600,9600,9600,0,0,STATIC,
10,0,0,0,0,0,0,0,STATIC,
11,0,0,0,0,0,0,0,STATIC,
12,531,531,531,531,531,0,0,STATIC,
13,0,0,0,0,0,0,0,STATIC,
14,2,2,2,2,2,0,0,STATIC,
15,531,531,531,531,531,0,0,STATIC,
16,20,20,20,20,20,0,0,STATIC,
17,500,500,500,500,500,0,0,STATIC,
18,25,25,25,25,25,0,0,STATIC,
19,0,0,0,0,0,0,0,STATIC,
20,2,2,2,2,2,0,0,STATIC,
